state_code,state_name,sch_num,sch_name,cust_code,cust_name,cust_town,status,type,category,accd_year,lga
003,Akwa Ibom,0031393,"ONYIEME GLORIOUS COLLEGE, ORON",03005,"SUB -TREASURY, ORON",ORON,,,,,
018,Kogi,0182062,UBE/JSS AKAYA-EJULE,,,,,,,,
003,Akwa Ibom,0033593,"THE APOSTOLIC CHURCH SCHOOLS, UYO",03001,"NECO STATE OFFICE, UYO",UYO,,,,,
003,Akwa Ibom,0036783,"DESTINY SECONDARY SCHOOL, EKET",03003,"ZONAL EDUCATION OFFICE - LIVERPOOL ROAD, EKET",EKET,,,,,
004,Anambra,0040052,"LAKECITY SECONDARY SCHOOL, NRI",,,,,,,,
004,Anambra,0048041,"BLESSED INTERNATIONAL SECONDARY SCHOOL, IYIOWA ODEKPE",,,,,,,,
005,Bauchi,0050130,"FOMWAN SCHOOL FEDERAL LOW-COST, BAUCHI",,,,,,,,
005,Bauchi,0052566,"GOVT JUNIOR SEC. SCHOOL, GOBIYA",,,,,,,,
005,Bauchi,0052567,"HAMAYO VOCATIONAL SEC. SCHOOL, MUSA",,,,,,,,
007,Borno,0070287,BENEX COMPREHENSIVE SCHOOL,07004,NJIMTILO POLICE STATION,JIMTILO,,,,,
007,Borno,0071413,"MILLENIUM INTL. SCHOOL, MAIDUGURI",07001,NECO OFFICE,MAIDUGURI,,,,,
007,Borno,0076425,"ISMAT INTERNATIONAL ACADEMY, MODUGANARI BYPASS, MAIDUGURI",07005,"DISTRICT HEAD PALACE, AUNO",AUNO,,,,,
018,Kogi,0182063,UBE/JSS OKULA-ALLOMA,,,,,,,,
008,Cross River,0085741,"COLMCILLE MEMORIAL ACADEMY, NTAMENTE",08010,"POLICE STATION, OKUNDI",OKUNDI,,,,,
008,Cross River,0086530,"AUNTY HARRISON HIGH SCHOOL, UWANSE, CALABAR",08007,"FIRST BANK PLC, MBUKPA",MBUKPA,,,,,
009,Delta,0095314,"BENITA INTERNATIONAL SCHOOL, ASABA",09001,"NECO STATE OFFICE, ASABA",ASABA,,,,,
010,Edo,0105829,"GOLDEN STRIDES INTERNATIONAL SCHOOL,AMAGBA, BENIN CITY",10008,"NSCDC LIMIT ROAD, BENIN CITY",BENIN CITY,,,,,
010,Edo,0108198,GOD'S MERCY DIVINE MONTESSORI ACADEMY OGHEKA BENIN CITY,,,,,,,,
018,Kogi,0182064,UBE/JSS AHI,,,,,,,,
011,Enugu,0117184,"SPECIAL SCIENCE SCHOOL, EZINESI ODUMA",11032,"ST. ANTHONY'S PARISH, ODUMA",ODUMA,,,,,
011,Enugu,0117378,"OZOUGWU COMPREHENSIVE  SECONDARY SCHOOL, NGWO",11009,"CHRIST THE KING PARISH, NGWO-UNO",NGWO-UNO,,,,,
011,Enugu,0117411,"GOD'S TIME SECONDARY SCHOOL, ENUGU",11003,"NECO OFFICE, ENUGU",ENUGU,,,,,
018,Kogi,0182065,UBE/JSS AJOH,,,,,,,,
011,Enugu,0117714,"GOVERNMENT COLLEGE, AGBANI",11005,"P.P.S.M.B. ZONAL OFFICE, AGBANI",AGBANI,,,,,
012,Imo,0126803,"FR. JUSTIN INTERNATIONAL SECONDARY SCHOOL, AKATTA",12006,"ST. STEPHEN'S ANGLICAN CHURCH, OTULU",OTULU,,,,,
018,Kogi,0182066,UBE/JSS OJUWO-OMACHI,,,,,,,,
012,Imo,0128203,"SANCTA MARIA SECONDARY SCHOOL, UVURU",,,,,,,,
013,Jigawa,0131843,"TALENT OF WISDOM FOR SECONDARY SCHOOL, GUMEL",13002,"ZONAL EDUCATION OFFICE, GUMEL",GUMEL,,,,,
