State,state_code,LGA
Borno,007,Abadam
FCT,031,Abaji
Akwa Ibom,003,Abak
Ebonyi,033,Abakaliki
Abia,001,Aba North
Abia,001,Aba South
Ogun,022,Abeokuta North
Ogun,022,Abeokuta South
Cross River,008,Abi
Imo,012,Aboh Mbaise
Rivers,027,Abua/Odual
FCT,031,Abuja
Kogi,018,Adavi
Ekiti,034,Ado Ekiti
Ogun,022,Ado-Odo/Ota
Oyo,025,Afijio
Ebonyi,033,Afikpo North
Ebonyi,033,Afikpo South (Edda)
Niger,021,Agaie
Benue,006,Agatu
Niger,021,Agwara
Lagos,020,Agege
Anambra,004,Aguata
Imo,012,Ahiazu Mbaise
Rivers,027,Ahoada East
Rivers,027,Ahoada West
Kogi,018,Ajaokuta
Lagos,020,Ajeromi-Ifelodun
Kano,015,Ajingi
Cross River,008,Akamkpa
Oyo,025,Akinyele
Gombe,035,Akko
Edo,010,Akoko-Edo
Ondo,023,Akoko North-East
Ondo,023,Akoko North-West
Ondo,023,Akoko South-West
Ondo,023,Akoko South-East
Cross River,008,Akpabuyo
Rivers,027,Akuku-Toru
Ondo,023,Akure North
Ondo,023,Akure South
Nasarawa,036,Akwanga
Kano,015,Albasu
Kebbi,017,Aleiro
Lagos,020,Alimosho
Bauchi,005,Alkaleri
Lagos,020,Amuwo-Odofin
Anambra,004,Anambra East
Anambra,004,Anambra West
Anambra,004,Anaocha
Rivers,027,Andoni
Enugu,011,Aninri
Delta,009,Aniocha North
Delta,009,Aniocha South
Zamfara,037,Anka
Kogi,018,Ankpa
Benue,006,Apa
Lagos,020,Apapa
Benue,006,Ado
Taraba,029,Ardo Kola
Kebbi,017,Arewa Dandi
Kebbi,017,Argungu
Abia,001,Arochukwu
Kwara,019,Asa
Rivers,027,Asari-Toru
Borno,007,Askira/Uba
Osun,024,Atakunmosa East
Osun,024,Atakunmosa West
Oyo,025,Atiba
Oyo,025,Atisbo
Kebbi,017,Augie
Jigawa,013,Auyo
Nasarawa,036,Awe
Enugu,011,Awgu
Anambra,004,Awka North
Anambra,004,Awka South
Anambra,004,Ayamelum
Osun,024,Aiyedaade
Osun,024,Aiyedire
Jigawa,013,Babura
Lagos,020,Badagry
Kebbi,017,Bagudo
Kano,015,Bagwai
Cross River,008,Bakassi
Plateau,026,Bokkos
Katsina,016,Bakori
Zamfara,037,Bakura
Gombe,035,Balanga
Taraba,029,Bali
Borno,007,Bama
Yobe,030,Bade
Plateau,026,Barkin Ladi
Kwara,019,Baruten
Kogi,018,Bassa
Plateau,026,Bassa
Katsina,016,Batagarawa
Katsina,016,Batsari
Bauchi,005,Bauchi
Katsina,016,Baure
Borno,007,Bayo
Kano,015,Bebeji
Cross River,008,Bekwarra
Abia,001,Bende
Cross River,008,Biase
Kano,015,Bichi
Niger,021,Bida
Gombe,035,Billiri
Katsina,016,Bindawa
Sokoto,028,Binji
Jigawa,013,Biriniwa
Kaduna,014,Birnin Gwari
Kebbi,017,Birnin Kebbi
Jigawa,013,Birnin Kudu
Zamfara,037,Birnin Magaji/Kiyaw
Borno,007,Biu
Sokoto,028,Bodinga
Bauchi,005,Bogoro
Cross River,008,Boki
Osun,024,Boluwaduro
Delta,009,Bomadi
Rivers,027,Bonny
Niger,021,Borgu
Osun,024,Boripe
Yobe,030,Bursari
Niger,021,Bosso
Bayelsa,032,Brass
Jigawa,013,Buji
Zamfara,037,Bukkuyum
Benue,006,Buruku
Zamfara,037,Bungudu
Kano,015,Bunkure
Kebbi,017,Bunza
Delta,009,Burutu
FCT,031,Bwari
Cross River,008,Calabar Municipal
Cross River,008,Calabar South
Niger,021,Chanchaga
Katsina,016,Charanchi
Borno,007,Chibok
Kaduna,014,Chikun
Kano,015,Dala
Yobe,030,Damaturu
Bauchi,005,Damban
Kano,015,Dambatta
Borno,007,Damboa
Kebbi,017,Dandi
Katsina,016,Dandume
Sokoto,028,Dange Shuni
Katsina,016,Danja
Katsina,016,Dan Musa
Bauchi,005,Darazo
Bauchi,005,Dass
Katsina,016,Daura
Kano,015,Dawakin Kudu
Kano,015,Dawakin Tofa
Rivers,027,Degema
Kogi,018,Dekina
Adamawa,002,Demsa
Borno,007,Dikwa
Kano,015,Doguwa
Nasarawa,036,Doma
Taraba,029,Donga
Gombe,035,Dukku
Anambra,004,Dunukofia
Jigawa,013,Dutse
Katsina,016,Dutsi
Katsina,016,Dutsin Ma
Akwa Ibom,003,Eastern Obolo
Ebonyi,033,Ebonyi
Niger,021,Edati
Osun,024,Ede North
Osun,024,Ede South
Kwara,019,Edu
Osun,024,Ife Central
Osun,024,Ife East
Osun,024,Ife North
Osun,024,Ife South
Ekiti,034,Efon
Ogun,022,Yewa North
Ogun,022,Yewa South
Oyo,025,Egbeda
Osun,024,Egbedore
Edo,010,Egor
Imo,012,Ehime Mbano
Osun,024,Ejigbo
Bayelsa,032,Ekeremor
Akwa Ibom,003,Eket
Kwara,019,Ekiti
Ekiti,034,Ekiti East
Ekiti,034,Ekiti South-West
Ekiti,034,Ekiti West
Anambra,004,Ekwusigo
Rivers,027,Eleme
Rivers,027,Emuoha
Ekiti,034,Emure
Enugu,011,Enugu East
Enugu,011,Enugu North
Enugu,011,Enugu South
Lagos,020,Epe
Edo,010,Esan Central
Edo,010,Esan North-East
Edo,010,Esan South-East
Edo,010,Esan West
Ondo,023,Ese Odo
Akwa Ibom,003,Esit Eket
Akwa Ibom,003,Essien Udim
Rivers,027,Etche
Delta,009,Ethiope East
Delta,009,Ethiope West
Akwa Ibom,003,Etim Ekpo
Akwa Ibom,003,Etinan
Lagos,020,Eti Osa
Edo,010,Etsako Central
Edo,010,Etsako East
Edo,010,Etsako West
Cross River,008,Etung
Ogun,022,Ewekoro
Enugu,011,Ezeagu
Imo,012,Ezinihitte
Ebonyi,033,Ezza North
Ebonyi,033,Ezza South
Kano,015,Fagge
Kebbi,017,Fakai
Katsina,016,Faskari
Yobe,030,Fika
Adamawa,002,Fufure
Gombe,035,Funakaye
Yobe,030,Fune
Katsina,016,Funtua
Kano,015,Gabasawa
Sokoto,028,Gada
Jigawa,013,Gagarawa
Bauchi,005,Gamawa
Bauchi,005,Ganjuwa
Adamawa,002,Ganye
Jigawa,013,Garki
Kano,015,Garko
Kano,015,Garun Mallam
Taraba,029,Gashaka
Taraba,029,Gassol
Kano,015,Gaya
Adamawa,002,Gayuk
Kano,015,Gezawa
Niger,021,Gbako
Benue,006,Gboko
Ekiti,034,Gbonyin
Yobe,030,Geidam
Bauchi,005,Giade
Kaduna,014,Giwa
Rivers,027,Gokana
Gombe,035,Gombe
Adamawa,002,Gombi
Sokoto,028,Goronyo
Adamawa,002,Grie
Borno,007,Gubio
Sokoto,028,Gudu
Yobe,030,Gujba
Yobe,030,Gulani
Benue,006,Guma
Jigawa,013,Gumel
Zamfara,037,Gummi
Niger,021,Gurara
Jigawa,013,Guri
Zamfara,037,Gusau
Borno,007,Guzamala
Sokoto,028,Gwadabawa
FCT,031,Gwagwalada
Kano,015,Gwale
Kebbi,017,Gwandu
Jigawa,013,Gwaram
Kano,015,Gwarzo
Benue,006,Gwer East
Benue,006,Gwer West
Jigawa,013,Gwiwa
Borno,007,Gwoza
Jigawa,013,Hadejia
Borno,007,Hawul
Adamawa,002,Hong
Oyo,025,Ibadan North
Oyo,025,Ibadan North-East
Oyo,025,Ibadan North-West
Oyo,025,Ibadan South-East
Oyo,025,Ibadan South-West
Kogi,018,Ibaji
Oyo,025,Ibarapa Central
Oyo,025,Ibarapa East
Oyo,025,Ibarapa North
Lagos,020,Ibeju-Lekki
Akwa Ibom,003,Ibeno
Akwa Ibom,003,Ibesikpo Asutan
Taraba,029,Ibi
Akwa Ibom,003,Ibiono-Ibom
Kogi,018,Idah
Ondo,023,Idanre
Imo,012,Ideato North
Imo,012,Ideato South
Anambra,004,Idemili North
Anambra,004,Idemili South
Oyo,025,Ido
Ekiti,034,Ido Osi
