state_code,state_name,sch_num,sch_name,cust_code,cust_name,cust_town,status,type,category,accd_year,lga
001,ABIA,0010001,NATIONAL HIGH SCHOOL  ABA,01020,"AIE., ASA ROAD, ABA","ASA ROAD, ABA",,,,,
001,ABIA,0010002,"SACRED HEART COLLEGE, ABA",01001,"POLARIS BANK, FACTORY RD, ABA",ABA,,,,,
001,ABIA,0010003,"GIRLS' SECONDARY COMMERCIAL SCHOOL, ABA",01020,"AIE., ASA ROAD, ABA","ASA ROAD, ABA",,,,,
001,ABIA,0010004,"OHABIAM GIRLS' SECONDARY SCHOOL, ABA",01020,"AIE., ASA ROAD, ABA","ASA ROAD, ABA",,,,,
001,ABIA,0010005,"UMUAGBAI SECONDARY SCHOOL,  ABA",01001,"POLARIS BANK, FACTORY RD, ABA",ABA,,,,,
001,ABIA,0010006,"ST. JOSEPH'S COLLEGE, ABA",01020,"AIE., ASA ROAD, ABA","ASA ROAD, ABA",,,,,
001,ABIA,0010007,"IHEORJI SECONDARY SCHOOL, ABA",01002,"ZIE, ABA SOUTH",ABA SOUTH,,,,,
001,ABIA,0010008,"ULASI ROAD GIRLS' SECONDARY SCHOOL, ABA",01001,"POLARIS BANK, FACTORY RD, ABA",ABA,,,,,
001,ABIA,0010009,"WILCOX MEMORIAL COMPREHENSIVE SECONDARY SCHOOL, ABA",01002,"ZIE, ABA SOUTH",ABA SOUTH,,,,,
001,ABIA,0010010,"GIRLS' HIGH SCHOOL, ABA",01003,"AIE OBINGWA I, ABA","OBINGWA, ABA",,,,,
001,ABIA,0010011,SECONDARY TECHNICAL SCHOOL ABA,01003,"AIE OBINGWA I, ABA","OBINGWA, ABA",,,,,
001,ABIA,0010012,"EZIAMA HIGH SCHOOL,  ABA",01001,"POLARIS BANK, FACTORY RD, ABA",ABA,,,,,
001,ABIA,0010013,"OSUSU SECONDARY SCHOOL, ABA",01002,"ZIE, ABA SOUTH",ABA SOUTH,,,,,
001,ABIA,0010014,"GIRLS' TECHNICAL COLLEGE, ABA",01003,"AIE OBINGWA I, ABA","OBINGWA, ABA",,,,,
001,ABIA,0010016,"ABIA STATE SENIOR SCIENCE SCHOOL, IHIE",01008,"A.I.E., ISIALANGWA NORTH",ISIALANGWA NORTH,,,,,
001,ABIA,0010017,"IHIE HIGH SCHOOL, IHIE",01008,"A.I.E., ISIALANGWA NORTH",ISIALANGWA NORTH,,,,,
001,ABIA,0010018,GRAMMAR SCHOOL MBAWSI,01008,"A.I.E., ISIALANGWA NORTH",ISIALANGWA NORTH,,,,,
001,ABIA,0010019,"GIRLS' HIGH SCHOOL, UMUNKOLO",01008,"A.I.E., ISIALANGWA NORTH",ISIALANGWA NORTH,,,,,
001,ABIA,0010020,NTIGHA SEC GRAMMAR SCH  NTIGHA,01008,"A.I.E., ISIALANGWA NORTH",ISIALANGWA NORTH,,,,,
001,ABIA,0010021,"SECONDARY TECHNICAL SCHOOL, NGWAUKWA",01007,"A.I.E, ISIALANGWA SOUTH",ISIALANGWA SOUTH,,,,,
001,ABIA,0010022,"UMUOHA SEC. SCHOOL, UMUOHA",01007,"A.I.E, ISIALANGWA SOUTH",ISIALANGWA SOUTH,,,,,
001,ABIA,0010023,"UMUNNA COMPREHENSIVE SECONDARY SCHOOL, UMUOSU",01007,"A.I.E, ISIALANGWA SOUTH",ISIALANGWA SOUTH,,,,,
001,ABIA,0010024,"AMASAA SECONDARY TECHNICAL SCHOOL, NSULU",01007,"A.I.E, ISIALANGWA SOUTH",ISIALANGWA SOUTH,,,,,
001,ABIA,0010025,"OHUHU NSULU SECONDARY SCHOOL,",01016,"M.O.U.A.U. MICROFINANCE BANK, UMUDIKE",UMUDIKE,,,,,
001,ABIA,0010026,"SECONDARY TECHNICAL SCHOOL, AMAPU/NTIGHA",01008,"A.I.E., ISIALANGWA NORTH",ISIALANGWA NORTH,,,,,
001,ABIA,0010027,"NVOSI HIGH SCHOOL, UMUNKPEYI",01007,"A.I.E, ISIALANGWA SOUTH",ISIALANGWA SOUTH,,,,,
001,ABIA,0010028,"ANGLICAN COLLEGE, OWERRINTA",01007,"A.I.E, ISIALANGWA SOUTH",ISIALANGWA SOUTH,,,,,
001,ABIA,0010029,"OVUOKWU/OMOBA SECONDARY SCHOOL,",01007,"A.I.E, ISIALANGWA SOUTH",ISIALANGWA SOUTH,,,,,
001,ABIA,0010030,"MBUTU NGWA SECONDAARY SCHOOL,",01008,"A.I.E., ISIALANGWA NORTH",ISIALANGWA NORTH,,,,,
001,ABIA,0010031,"OVUNGWU SECONDARY SCHOOL,  UMUAPU",01007,"A.I.E, ISIALANGWA SOUTH",ISIALANGWA SOUTH,,,,,
001,ABIA,0010032,NDIOLUMBE COMPREHENSIVE SECONDARY SCHOOL,01007,"A.I.E, ISIALANGWA SOUTH",ISIALANGWA SOUTH,,,,,
001,ABIA,0010033,"OKPORO-AHABA SECONDARY SCHOOL,",01007,"A.I.E, ISIALANGWA SOUTH",ISIALANGWA SOUTH,,,,,
001,ABIA,0010034,"AMANO SECONDARY TECHNICAL SCHOOL, AMAEDE",01007,"A.I.E, ISIALANGWA SOUTH",ISIALANGWA SOUTH,,,,,
